[E 260731 23:38:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'DATAPATTNS', 'symboltoken': '7367'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'KAYNES', 'symboltoken': '30511'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:12 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'TATAELXSI', 'symboltoken': '8460'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'KPITTECH', 'symboltoken': '27245'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:16 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'GODREJPROP', 'symboltoken': '18456'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:17 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'IRFC', 'symboltoken': '27239'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:18 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'SAPPHIRE', 'symboltoken': '6722'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:20 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'DATAPATTNS', 'symboltoken': '7367'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:22 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'TATAELXSI', 'symboltoken': '8460'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:23 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'HAL', 'symboltoken': '5485'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
[E 260731 23:38:24 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData. Error: Symbol token not found in scrip master cache for the given exchange. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/order/v1/getLtpData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '00:15:5d:00:64:00', 'Accept': 'application/json', 'X-PrivateKey': 'v6Op1f2E', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'tradingsymbol': 'KPITTECH', 'symboltoken': '27245'}, Response: {'message': 'Symbol token not found in scrip master cache for the given exchange', 'errorcode': 'AB4046', 'status': False, 'data': None}
